EarthPod Sensor Log
Created: Thu Jul 16 01:17:27 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Interrupt Counter (counts/time step),Wind (m/s),Airflow (m/s),Airflow Ambient Temp (C),Airflow Error
Wed Sep 16 19:27:31 2020,6.208,38.428,21.266,7370.24,96.963367187,0,0.0,0.577,40.38,0
Wed Sep 16 19:27:39 2020,6.209,38.391,22.332,7380.48,96.965273437,0,0.0,0.774,40.84,0
Wed Sep 16 19:27:46 2020,6.208,38.438,21.098,7383.04,96.961992187,0,0.0,0.661,40.23,0
Wed Sep 16 19:27:53 2020,6.208,38.511,21.765,7342.08,96.96209375,0,0.0,0.549,40.51,0
Wed Sep 16 19:28:00 2020,6.209,38.509,21.574,7395.84,96.960378906,0,0.0,0.425,40.99,0
Wed Sep 16 19:28:07 2020,6.209,38.577,22.903,7385.6,96.959171875,0,0.0,0.241,45.32,0
Wed Sep 16 19:28:14 2020,6.208,38.595,22.026,7349.76,96.960339843,0,0.0,0.366,42.43,0
Wed Sep 16 19:28:21 2020,6.21,38.542,21.847,7326.72,96.957183593,0,0.0,0.329,43.69,0
Wed Sep 16 19:28:28 2020,6.208,38.504,22.306,7457.28,96.960804687,0,0.0,0.293,44.88,0
Wed Sep 16 19:28:35 2020,6.207,38.527,21.481,7493.12,96.959425781,0,0.0,0.356,43.16,0
Wed Sep 16 19:28:42 2020,6.21,38.564,20.729,7475.2,96.958144531,0,0.0,0.121,50.55,0
Wed Sep 16 19:28:49 2020,6.208,38.693,20.855,7408.64,96.96165625,0,0.0,0.172,49.76,0
Wed Sep 16 19:28:56 2020,6.21,38.781,20.896,7462.4,96.959738281,0,0.0,0.473,42.84,0
Wed Sep 16 19:29:03 2020,6.209,38.783,20.413,7380.48,96.959234375,0,0.0,0.47,41.91,0
Wed Sep 16 19:29:10 2020,6.208,38.796,22.416,7383.04,96.959140625,0,0.0,0.89,41.5,0
Wed Sep 16 19:29:17 2020,6.207,38.783,21.719,7301.12,96.960207031,0,0.0,1.068,39.64,0
Wed Sep 16 19:29:24 2020,6.209,38.831,21.424,7298.56,96.957898437,0,0.0,0.756,40.38,0
Wed Sep 16 19:29:31 2020,6.207,38.814,21.99,7347.2,96.961105468,0,0.0,0.36,42.48,0
Wed Sep 16 19:29:38 2020,6.206,38.871,21.968,7265.28,96.960367187,0,0.0,0.607,41.69,0
Wed Sep 16 19:29:45 2020,6.211,38.909,22.012,7278.08,96.960125,0,0.0,0.477,41.87,0
Wed Sep 16 19:29:52 2020,6.208,38.932,21.617,7185.92,96.961429687,0,0.0,0.593,41.52,0
Wed Sep 16 19:29:59 2020,6.208,38.95,21.255,7301.12,96.961191406,0,0.0,0.862,40.15,0
Wed Sep 16 19:30:06 2020,6.211,39.007,21.501,7296.0,96.959816406,0,0.0,0.631,40.44,0
Wed Sep 16 19:30:13 2020,6.204,38.97,21.362,7260.16,96.956328125,0,0.0,0.555,41.08,0
Wed Sep 16 19:30:20 2020,6.208,38.897,21.559,7278.08,96.961414062,0,0.0,0.608,41.16,0
Wed Sep 16 19:30:27 2020,6.208,38.788,22.28,7226.88,96.95934375,0,0.0,0.725,41.03,0
Wed Sep 16 19:30:34 2020,6.209,38.791,21.263,7229.44,96.960105468,0,0.0,0.465,40.94,0
Wed Sep 16 19:30:41 2020,6.206,38.874,21.139,7196.16,96.958660156,0,0.0,0.561,41.34,0
Wed Sep 16 19:30:49 2020,6.209,38.972,22.932,7208.96,96.959597656,0,0.0,0.703,41.6,0
Wed Sep 16 19:30:56 2020,6.204,38.909,23.007,7267.84,96.95990625,0,0.0,0.678,41.24,0
Wed Sep 16 19:31:03 2020,6.209,38.952,22.196,7260.16,96.961347656,0,0.0,1.118,40.48,0
Wed Sep 16 19:31:10 2020,6.212,38.844,21.652,7198.72,96.960246093,0,0.0,0.817,40.58,0
Wed Sep 16 19:31:17 2020,6.21,38.776,22.023,7237.12,96.958808593,0,0.0,0.756,40.28,0
Wed Sep 16 19:31:24 2020,6.209,38.773,20.925,7193.6,96.957894531,0,0.0,0.745,40.67,0
Wed Sep 16 19:31:31 2020,6.208,38.715,21.946,7147.52,96.959542968,0,0.0,0.638,41.06,0
Wed Sep 16 19:31:38 2020,6.206,38.824,21.53,7132.16,96.962074218,0,0.0,0.48,41.19,0
Wed Sep 16 19:31:45 2020,6.209,38.831,21.446,7132.16,96.959824218,0,0.0,0.571,41.55,0
Wed Sep 16 19:31:52 2020,6.209,38.804,22.451,7124.48,96.958445312,0,0.0,0.371,42.33,0
Wed Sep 16 19:31:59 2020,6.208,38.851,22.673,7096.32,96.959046875,0,0.0,0.577,41.28,0
Wed Sep 16 19:32:06 2020,6.207,38.854,20.87,7106.56,96.959671875,0,0.0,0.405,41.95,0
Wed Sep 16 19:32:13 2020,6.209,38.882,21.134,7111.68,96.959164062,0,0.0,0.525,41.68,0
Wed Sep 16 19:32:20 2020,6.205,38.884,22.091,7114.24,96.961269531,0,0.0,0.357,42.77,0
Wed Sep 16 19:32:27 2020,6.21,38.871,21.955,7114.24,96.961605468,0,0.0,0.576,41.13,0
Wed Sep 16 19:32:34 2020,6.207,38.869,22.552,7178.24,96.959550781,0,0.0,0.494,41.62,0
Wed Sep 16 19:32:41 2020,6.205,38.992,23.548,7201.28,96.958023437,0,0.0,0.363,42.78,0
Wed Sep 16 19:32:48 2020,6.208,39.01,21.411,7237.12,96.955933593,0,0.0,0.347,43.6,0
Wed Sep 16 19:32:55 2020,6.208,39.028,20.155,7255.04,96.956160156,0,0.0,0.234,46.19,0
Wed Sep 16 19:33:02 2020,6.206,39.015,20.877,7267.84,96.954710937,0,0.0,0.332,44.02,0
Wed Sep 16 19:33:09 2020,6.207,38.987,21.229,7290.88,96.956882812,0,0.0,0.342,43.61,0
Wed Sep 16 19:33:16 2020,6.211,38.97,20.59,7267.84,96.956160156,0,0.0,0.245,46.43,0
Wed Sep 16 19:33:23 2020,6.208,39.058,19.801,7249.92,96.954101562,0,0.0,0.178,48.95,0
Wed Sep 16 19:33:30 2020,6.208,39.121,20.834,7237.12,96.954714843,0,0.0,0.166,49.53,0
Wed Sep 16 19:33:37 2020,6.21,39.169,20.838,7214.08,96.955941406,0,0.0,0.224,47.96,0
Wed Sep 16 19:33:44 2020,6.206,39.247,20.358,7206.4,96.955417968,0,0.0,0.2,49.1,0
Wed Sep 16 19:33:51 2020,6.209,39.335,21.363,7193.6,96.957246093,0,0.0,0.212,48.81,0
Wed Sep 16 19:33:59 2020,6.208,39.332,20.153,7175.68,96.95534375,0,0.0,0.147,50.6,0
Wed Sep 16 19:34:06 2020,6.21,39.43,20.936,7152.64,96.957578125,0,0.0,0.161,50.69,0
Wed Sep 16 19:34:13 2020,6.207,39.438,20.162,7134.72,96.956753906,0,0.0,0.129,51.78,0
Wed Sep 16 19:34:20 2020,6.21,39.546,22.358,7134.72,96.956792968,0,0.0,0.147,51.6,0
Wed Sep 16 19:34:27 2020,6.206,39.554,21.231,7132.16,96.958199218,0,0.0,0.184,50.62,0
Wed Sep 16 19:34:34 2020,6.208,39.612,21.461,7129.6,96.957671875,0,0.0,0.13,52.51,0
Wed Sep 16 19:34:41 2020,6.209,39.67,21.002,7127.04,96.954148437,0,0.0,0.323,46.72,0
Wed Sep 16 19:34:48 2020,6.209,39.566,19.059,7132.16,96.955632812,0,0.0,0.158,51.46,0
Wed Sep 16 19:34:55 2020,6.204,39.579,19.949,7121.92,96.958476562,0,0.0,0.557,44.1,0
Wed Sep 16 19:35:02 2020,6.207,39.612,20.646,7109.12,96.955773437,0,0.0,0.317,45.35,0
Wed Sep 16 19:35:09 2020,6.206,39.72,20.339,7116.8,96.960585937,0,0.0,0.217,49.65,0
Wed Sep 16 19:35:16 2020,6.208,39.733,19.38,7106.56,96.954449218,0,0.0,0.156,52.09,0
Wed Sep 16 19:35:23 2020,6.209,39.72,20.684,7101.44,96.954828125,0,0.0,0.14,52.81,0
Wed Sep 16 19:35:30 2020,6.21,39.838,20.491,7114.24,96.956304687,0,0.0,0.159,52.5,0
Wed Sep 16 19:35:37 2020,6.207,39.896,20.782,7137.28,96.955960937,0,0.0,0.168,52.16,0
Wed Sep 16 19:35:44 2020,6.209,39.954,20.869,7134.72,96.956101562,0,0.0,0.166,52.53,0
Wed Sep 16 19:35:51 2020,6.206,39.977,20.947,7142.4,96.95665625,0,0.0,0.526,45.38,0
Wed Sep 16 19:35:58 2020,6.206,39.969,20.118,7129.6,96.959269531,0,0.0,0.408,44.25,0
Wed Sep 16 19:36:05 2020,6.21,40.007,21.594,7144.96,96.956363281,0,0.0,0.435,43.38,0
Wed Sep 16 19:36:12 2020,6.21,39.914,19.978,7180.8,96.957382812,0,0.0,0.563,42.64,0
Wed Sep 16 19:36:19 2020,6.208,39.841,20.266,7165.44,96.956,0,0.0,0.607,42.43,0
Wed Sep 16 19:36:26 2020,6.207,39.763,22.068,7139.84,96.955273437,0,0.0,0.428,42.58,0
Wed Sep 16 19:36:33 2020,6.207,39.685,20.526,7134.72,96.954773437,0,0.0,0.326,44.45,0
Wed Sep 16 19:36:40 2020,6.207,39.612,20.933,7124.48,96.955554687,0,0.0,0.336,45.01,0
Wed Sep 16 19:36:47 2020,6.208,39.604,20.672,7111.68,96.954707031,0,0.0,0.334,44.84,0
Wed Sep 16 19:36:54 2020,6.207,39.662,20.616,7101.44,96.95453125,0,0.0,0.283,46.22,0
Wed Sep 16 19:37:01 2020,6.209,39.639,20.309,7098.88,96.95459375,0,0.0,0.236,48.18,0
Wed Sep 16 19:37:09 2020,6.212,39.622,19.7,7080.96,96.957035156,0,0.0,0.187,49.71,0
Wed Sep 16 19:37:16 2020,6.208,39.675,20.492,7070.72,96.956035156,0,0.0,0.212,49.12,0
Wed Sep 16 19:37:23 2020,6.206,39.768,19.682,7091.2,96.954773437,0,0.0,0.203,49.61,0
Wed Sep 16 19:37:30 2020,6.207,39.801,20.385,7101.44,96.954347656,0,0.0,0.16,51.32,0
Wed Sep 16 19:37:37 2020,6.205,39.874,20.674,7137.28,96.954597656,0,0.0,0.225,49.63,0
Wed Sep 16 19:37:44 2020,6.206,39.861,20.303,7134.72,96.954929687,0,0.0,0.375,44.37,0
Wed Sep 16 19:37:51 2020,6.212,39.954,20.008,7109.12,96.954429687,0,0.0,0.474,44.12,0
Wed Sep 16 19:37:58 2020,6.207,39.972,19.009,7075.84,96.956390625,0,0.0,0.41,43.75,0
Wed Sep 16 19:38:05 2020,6.207,40.015,18.785,7078.4,96.953378906,0,0.0,0.419,43.67,0
Wed Sep 16 19:38:12 2020,6.209,40.007,20.336,7088.64,96.954113281,0,0.0,0.309,46.52,0
Wed Sep 16 19:38:19 2020,6.209,40.045,19.609,7086.08,96.952761718,0,0.0,0.354,43.76,0
Wed Sep 16 19:38:26 2020,6.21,40.103,19.244,7063.04,96.951769531,0,0.0,0.324,45.58,0
Wed Sep 16 19:38:33 2020,6.21,40.095,19.694,7070.72,96.953878906,0,0.0,0.42,43.05,0
Wed Sep 16 19:38:40 2020,6.208,40.123,21.191,7063.04,96.953496093,0,0.0,0.401,42.68,0
Wed Sep 16 19:38:47 2020,6.206,40.009,20.979,7060.48,96.954386718,0,0.0,0.636,41.61,0
Wed Sep 16 19:38:54 2020,6.209,39.826,19.857,7052.8,96.953238281,0,0.0,0.291,45.48,0
Wed Sep 16 19:39:01 2020,6.209,39.848,21.116,7068.16,96.953257812,0,0.0,0.832,41.82,0
Wed Sep 16 19:39:08 2020,6.208,39.931,21.301,7075.84,96.952226562,0,0.0,0.33,44.0,0
Wed Sep 16 19:39:15 2020,6.21,39.833,20.878,7091.2,96.953695312,0,0.0,0.421,42.91,0
Wed Sep 16 19:39:22 2020,6.206,39.881,21.121,7096.32,96.950433593,0,0.0,0.307,45.56,0
Wed Sep 16 19:39:29 2020,6.209,39.848,21.434,7155.2,96.954464843,0,0.0,0.184,50.14,0
