EarthPod Sensor Log
Created: Wed Jun 24 01:17:26 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Wind (m/s)
Wed Jun 24 01:32:43 2020,6.919,30.495,36.254,13987.84,95.833007812,0.0
Wed Jun 24 01:32:50 2020,6.919,30.331,34.08,13972.48,95.834378906,0.0
Wed Jun 24 01:32:57 2020,6.92,30.566,35.314,13839.36,95.830453125,0.0
Wed Jun 24 01:33:03 2020,6.92,30.588,34.269,14059.52,95.831273437,0.0
Wed Jun 24 01:33:10 2020,6.92,30.777,34.817,14090.24,95.828742187,0.0
Wed Jun 24 01:33:17 2020,6.92,30.79,35.005,14003.2,95.821566406,0.0
Wed Jun 24 01:33:24 2020,6.92,30.827,36.837,14033.92,95.826246093,0.0
Wed Jun 24 01:33:31 2020,6.92,30.81,33.973,13998.08,95.828332031,0.0
Wed Jun 24 01:33:38 2020,6.92,30.822,35.076,13972.48,95.82609375,0.0
Wed Jun 24 01:33:45 2020,6.92,30.8,35.917,13900.8,95.826152343,0.0
Wed Jun 24 01:33:52 2020,6.93,30.762,38.256,13962.24,95.825652343,0.0
Wed Jun 24 01:33:59 2020,6.92,30.815,39.497,13946.88,95.830105468,0.0
Wed Jun 24 01:34:06 2020,6.921,30.777,39.395,13972.48,95.824667968,0.0
Wed Jun 24 01:34:13 2020,6.921,30.825,39.625,13926.4,95.8263125,0.0
Wed Jun 24 01:34:20 2020,6.919,30.822,38.995,13962.24,95.828375,0.0
Wed Jun 24 01:34:27 2020,6.919,30.82,38.706,13972.48,95.825058593,0.0
Wed Jun 24 01:34:33 2020,6.916,30.722,36.151,13946.88,95.832476562,0.0
Wed Jun 24 01:34:40 2020,6.92,30.78,35.444,13885.44,95.828902343,0.0
Wed Jun 24 01:34:47 2020,6.921,30.843,32.986,13665.28,95.83403125,0.0
Wed Jun 24 01:34:54 2020,6.92,30.981,33.821,13598.72,95.814183593,0.0
Wed Jun 24 01:35:01 2020,6.92,30.923,37.432,13537.28,95.812183593,0.0
Wed Jun 24 01:35:08 2020,6.92,30.77,38.993,13726.72,95.818734375,0.0
Wed Jun 24 01:35:15 2020,6.92,30.727,37.994,13824.0,95.821429687,0.0
Wed Jun 24 01:35:22 2020,6.923,30.83,36.177,13711.36,95.8271875,0.0
Wed Jun 24 01:35:29 2020,6.92,30.973,35.516,13762.56,95.83090625,0.0
Wed Jun 24 01:35:36 2020,6.92,31.021,34.803,13788.16,95.821679687,0.0
Wed Jun 24 01:35:43 2020,6.92,31.034,35.479,13404.16,95.830933593,0.0
Wed Jun 24 01:35:50 2020,6.92,30.931,36.326,10170.88,95.817699218,0.0
Wed Jun 24 01:35:56 2020,6.93,31.019,37.246,17024.0,95.81621875,0.0
Wed Jun 24 01:36:03 2020,6.92,31.087,34.757,15232.0,95.821039062,0.0
Wed Jun 24 01:36:10 2020,6.92,30.984,37.124,17100.8,95.821179687,0.0
Wed Jun 24 01:36:17 2020,6.92,31.147,37.135,17254.4,95.820175781,0.0
Wed Jun 24 01:36:24 2020,6.921,31.145,31.79,17351.68,95.819535156,0.0
Wed Jun 24 01:36:31 2020,6.92,31.193,32.276,17372.16,95.817773437,0.0
Wed Jun 24 01:36:38 2020,6.92,31.185,31.964,17300.48,95.81746875,0.0
Wed Jun 24 01:36:45 2020,6.92,31.198,32.814,17612.8,95.822742187,0.0
Wed Jun 24 01:36:52 2020,6.92,31.24,35.784,17848.32,95.82265625,0.0
Wed Jun 24 01:36:59 2020,6.92,31.308,39.698,17699.84,95.822164062,0.0
Wed Jun 24 01:37:06 2020,6.92,31.341,37.078,17761.28,95.819027343,0.0
